站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,,,,,,,,,,,,,,
61,220,115,76,114,50,87,168,97,51,228,139,线路12,1240,105750299,105750299,巨腾国际,1426,105769109,105769109,黄家坝,1302,105774331,105774331,晓城春天,1256,105717835,105717835,大足区交委,1300,105766463,105766463,时代广场南,1229,105763588,105763588,中央龙庭,1269,105745772,105745772,大晒坝,1371,105777758,105777758,火炬十队,1279,105742101,105742101,双湖招抚站,1230,105757610,105757610,还房新村,1435,105786116,105786116,天星大桥,1326,105794739,105794739,龙滩子社区医院,,,,,,,,11,1180,,1180,105755569,29569326,五金市场
52,189,34,101,205,73,111,137,75,107,3,95,线路13,1231,105727776,105727776,城南新村,1393,105708243,105708243,十字口,1206,105755993,105755993,船锚厂,1283,105784838,105784838,红岩宾馆,1411,105797394,105797394,二片区,1252,105759603,105759603,荷花山庄,1297,105790487,105790487,实验小学,1324,105781089,105781089,复隆交界处,1255,105683210,105683210,明星,1291,105752751,105752751,洛矶山,617,105762022,105762022,老粮站,1277,105780285,105780285,千叶广场,,,,,,,,12,1181,,1181,105754573,29570427,花市街派出所
205,42,38,33,209,102,98,49,31,4,183,148,线路14,1411,105797394,105797394,二片区,1220,105762964,105762964,街心花园,1213,105791035,105791035,双桥龙滩子,1205,105752095,105752095,五金市场,1415,105765476,105765476,时代广场南,1284,105793019,105793019,天星大桥,1280,105767083,105767083,鲜花港,1227,105772003,105772003,车城广场,1203,105711128,105711128,大足中学,800,105734608,105734608,区地税局,1386,105729978,105729978,城南创新小学,1338,105790376,105790376,双湖招抚站,,,,,,,,13,1182,,1182,105762099,29557860,龙水汽车站
224,141,19,111,214,37,5,99,143,174,148,173,线路15,1430,105796527,105796527,沙桥二队,1329,105759128,105759128,五金博物馆,1188,105727902,105727902,凤凰城,1297,105790487,105790487,实验小学,1420,105758465,105758465,红岩汽修厂,1210,105784899,105784899,龙景理想城,806,105729141,105729141,区广电大厦,1281,105769453,105769453,兴业广场,1332,105764963,105764963,上官楼,1377,105739334,105739334,昌州古城,1338,105790376,105790376,双湖招抚站,1376,105736551,105736551,清明桥,,,,,,,,14,1183,,1183,105743337,29601349,十里店
169,125,59,66,145,100,207,9,152,230,211,63,线路16,1372,105773716,105773716,火炬十一队,1312,105777594,105777594,香山社区六队,1238,105772425,105772425,车城明珠小区,1245,105787908,105787908,重庆电信职业学院,1334,105797267,105797267,水塔,1282,105774127,105774127,车城印象,1413,105761265,105761265,双桥客运站,1178,105760043,105760043,新城港湾,1346,105696583,105696583,69队修理厂,1437,105768398,105768398,山水名都小区西,1417,105764588,105764588,上官楼,1242,105742533,105742533,邮亭供电所,,,,,,,,15,1184,,1184,105749186,29578684,龙西岔路口
97,192,218,213,28,145,107,67,220,99,52,5,线路17,1279,105742101,105742101,双湖招抚站,1396,105726580,105726580,火烧坝,1424,105788027,105788027,左家坡,1419,105761806,105761806,城市枫景,1197,105760181,105760181,大足区第二人民医,1334,105797267,105797267,水塔,1291,105752751,105752751,洛矶山,1246,105768508,105768508,通桥镇政府,1426,105769109,105769109,黄家坝,1281,105769453,105769453,兴业广场,1231,105727776,105727776,城南新村,806,105729141,105729141,区广电大厦,,,,,,,,16,1185,,1185,105748216,29586368,龙水工业园区
212,77,113,31,233,200,89,56,166,81,133,111,线路18,1418,105769448,105769448,双路中学,1257,105727070,105727070,大足职教中心,1299,105754931,105754931,慈航六队,1203,105711128,105711128,大足中学,1440,105762701,105762701,龙水汽车站,1404,105735393,105735393,邮亭中学,1271,105772569,105772569,横店村,1235,105768835,105768835,高坡1队,1369,105787644,105787644,长河六队,1263,105767700,105767700,双桥公园,1320,105748344,105748344,倒庙三队,1297,105790487,105790487,实验小学,,,,,,,,17,1186,,1186,105711054,29697663,大足汽车站
1,192,224,223,117,158,35,86,61,212,168,98,线路19,17,105794631,105794631,宝顶,1396,105726580,105726580,火烧坝,1430,105796527,105796527,沙桥二队,1429,105760093,105760093,德恒物业城,1304,105787628,105787628,四片区南站,1357,105810485,105810485,大龙湾酒店,1208,105764173,105764173,时代广场,1268,105718850,105718850,南山公园,1240,105750299,105750299,巨腾国际,1418,105769448,105769448,双路中学,1371,105777758,105777758,火炬十队,1280,105767083,105767083,鲜花港,,,,,,,,18,1187,,1187,105719873,29705105,大足区电信局
60,141,179,209,129,116,217,34,201,230,235,144,线路20,1239,105753923,105753923,天福六队,1329,105759128,105759128,五金博物馆,1382,105698914,105698914,西门桥食品公司,1415,105765476,105765476,时代广场南,1316,105766667,105766667,双路公园,1303,105777052,105777052,双桥经开区管委会,1423,105764627,105764627,龙水西湖岔路口,1206,105755993,105755993,船锚厂,1405,105793550,105793550,宝顶山博物馆,1437,105768398,105768398,山水名都小区西,1442,105769542,105769542,双桥中学,1333,105797717,105797717,水塔,,,,,,,,19,1188,,1188,105727902,29692975,凤凰城
183,83,181,235,94,21,135,102,217,37,199,63,线路21,1386,105729978,105729978,城南创新小学,1265,105775825,105775825,山水名都,1384,105704898,105704898,书香世家,1442,105769542,105769542,双桥中学,1276,105777781,105777781,双桥中学,1190,105739961,105739961,水车铺,1322,105752509,105752509,倒庙六队,1284,105793019,105793019,天星大桥,1423,105764627,105764627,龙水西湖岔路口,1210,105784899,105784899,龙景理想城,1403,105718836,105718836,电信局,1242,105742533,105742533,邮亭供电所,,,,,,,,20,1189,,1189,105728895,29652337,金星村
