,,,上客,,,,,下客
3203,106502062,29585847,1849.774136,,40104,106468020,29562796,703.823782
3204,106508863,29585952,1860.284184,,40120,106503605,29581637,1021.94436
3205,106514101,29586029,1909.582875,,40121,106511366,29585991,1068.057955
3206,106521620,29585980,1796.625118,,40122,106520781,29586171,1065.529973
3207,106525449,29582619,1437.014815,,40123,106523915,29585422,1187.357144
3208,106563620,29552471,1609.094211,,40124,106545504,29608722,1089.839499
3209,106533604,29569094,2230.919893,,0800-2,经度,维度,18457.61516
3210,106540687,29559709,1949.291552,,39716,106551715,29604846,46.390901
3211,106545235,29553509,1133.019389,,39717,106555102,29601306,249.525194
3212,106550080,29554172,1387.511436,,39718,106468025,29562797,342.537198
3213,106526216,29574185,1830.580075,,39719,106480106,29568231,920.727138
3214,106570781,29551954,1335.487646,,39736,106487963,29572157,1241.661622
3409,106650400,29506615,2012.427603,,39737,106496597,29577200,1424.504836
3410,106639718,29500492,2443.249186,,39738,106502201,29580075,1571.846786
3411,106637603,29497330,2283.367246,,39739,106504224,29583150,1602.030335
3412,106629223,29493561,2514.940627,,39740,106508505,29585944,1529.166686
3413,106626015,29494074,2934.165775,,39741,106521620,29585980,1316.627729
3414,106571123,29523565,2434.551561,,39742,106525449,29582619,1180.749001
3462,106461363,29560544,1727.674251,,39743,106524640,29575329,1164.210455
3463,106468018,29562795,2367.836588,,39744,106540853,29575756,802.79448
3464,106480106,29568231,2447.144818,,39745,106546713,29576467,825.939741
3465,106487963,29572157,2159.497481,,39746,106549135,29578449,732.370003
3466,106493909,29574801,2582.560527,,39747,106553779,29581235,994.50359
3467,106496597,29577200,2547.552937,,39748,106556410,29584684,875.852148
3468,106502201,29580075,2496.951578,,39749,106555606,29597844,893.267759
3469,106504358,29583544,2380.175293,,39750,106462505,29560935,742.909556
3470,106508618,29585946,2173.443673,,0811-1,经度,维度,17602.64684
3472,106521620,29585980,2188.475312,,39427,106503530,29608568,767.815362
3473,106525449,29582619,1897.974513,,39428,106501010,29606547,626.89027
3474,106526179,29574179,1443.483911,,39429,106503064,29603551,1185.446049
3476,106532423,29576453,2079.720309,,39430,106514520,29602783,1223.954009
3477,106531995,29579236,2220.445624,,39431,106525449,29582619,974.115578
3478,106528591,29578691,2058.814381,,39432,106524640,29575329,1042.920045
3479,106524456,29584268,2237.729014,,39433,106533563,29569377,1161.923762
3480,106520777,29586170,2153.0107,,39434,106544314,29562189,1360.004056
3481,106508505,29585944,2106.658727,,57129,106482746,29640472,193.250605
3482,106502062,29585847,1689.913831,,57130,106478710,29640525,352.005758
3483,106503607,29581640,2220.232268,,57131,106474783,29636563,380.138236
3484,106497152,29577687,2270.64731,,57132,106471321,29626877,410.384402
3485,106494112,29574937,2175.685805,,57133,106473030,29626473,621.552693
3486,106487703,29572115,2652.680449,,57134,106473963,29625453,756.029828
3487,106480356,29568461,2452.889357,,57135,106473783,29621994,785.970335
3488,106467842,29562747,718.951315,,57136,106482727,29617188,827.777374
3522,106516189,29372097,445.798237,,57137,106494130,29618593,819.23983
3523,106518601,29373021,802.613946,,57138,106498244,29616302,851.686926
3524,106518496,29374549,854.666578,,57139,106502124,29610425,1177.822577
3525,106518349,29376989,1043.620122,,57140,106518332,29598242,978.459646
3526,106523000,29379292,1046.514859,,57141,106521272,29591382,1105.259502
3527,106523856,29379975,952.672754,,0811-2,经度,维度,22858.43811
3528,106523574,29382436,923.554438,,39062,106541671,29563481,1453.454845
3529,106521540,29382976,975.749228,,39063,106533563,29569377,1940.315175
3530,106518165,29384486,1016.591333,,39064,106530925,29573857,1834.313219
3531,106516263,29385673,941.643965,,39065,106532419,29578858,1515.827176
3532,106514583,29386762,922.214052,,39066,106524459,29584263,1320.721052
3533,106512385,29387883,881.635105,,39067,106514386,29603184,1363.943889
3534,106510238,29388075,854.982367,,39068,106505772,29603444,1134.933183
3535,106508563,29388197,799.771841,,57143,106547068,29554887,376.175335
3536,106505285,29388798,664.105263,,57144,106548013,29557344,1301.042064
3537,106502456,29390083,467.157895,,57145,106521601,29590476,1172.531527
3538,106500559,29390902,400.894737,,57146,106518162,29598510,1029.015344
3540,106498506,29391834,562.642316,,57147,106504213,29604824,712.222615
3541,106500559,29390902,673.905474,,57148,106500782,29610430,1153.236832
3542,106502652,29389994,843.905474,,57149,106497552,29618989,1006.362104
3543,106505476,29388709,924.99344,,57150,106487281,29617682,1010.191965
3544,106508386,29388215,951.463825,,57151,106481389,29617552,914.761067
3545,106510236,29388075,870.365123,,57152,106473823,29622202,859.507714
3547,106514358,29386906,924.838807,,57153,106473957,29625784,877.881909
3548,106516383,29385594,902.996701,,57154,106472767,29626500,630.231898
3549,106518357,29384396,809.996701,,57155,106471326,29626893,580.214097
3550,106521226,29383019,613.365123,,57156,106474704,29636263,181.705477
3551,106518140,29380694,610.786175,,57157,106478348,29640529,489.849626
3552,106516262,29378923,602.101965,,105-1,经度,维度,8758.772268
3553,106518363,29376765,583.789474,,45716,106555597,29597792,1493.15992
3554,106518475,29374875,539.842105,,45718,106547002,29606100,297.968935
3555,106518616,29372801,212.578947,,45719,106579219,29561434,101.600563
3557,106498506,29391834,237.684211,,45721,106568574,29563160,308.616932
3558,106500736,29390821,269.421053,,45722,106565095,29564382,1203.90076
3559,106502456,29390083,312.052632,,45723,106563873,29577199,1877.077917
3560,106505285,29388798,338.842105,,45734,106562878,29580761,1647.620684
3561,106507532,29390599,384.842105,,52074,106555449,29601300,994.989888
3562,106509229,29390304,473.368421,,52075,106549950,29601381,833.836669
3563,106511485,29390009,496.210526,,106-1,经度,维度,3934.255013
3564,106513177,29389580,541.736842,,5913,106522025,29589316,546.683267
3565,106516242,29388633,561.684211,,5914,106525449,29582619,622.670505
3566,106518030,29387269,520.473684,,5915,106511870,29565549,646.863528
3567,106518355,29386353,509.421053,,5916,106524961,29574935,559.260297
3568,106518165,29384486,512.578947,,5917,106523721,29571957,659.987556
3569,106521540,29382976,465.631579,,5918,106518596,29569337,456.1942
3570,106523574,29382436,236.105263,,5919,106511381,29564514,442.59566
3571,106523856,29379975,196.421053,,106-2,经度,维度,4330.354484
3572,106524178,29378853,185.894737,,2918,106504884,29560890,545.568101
3574,106524589,29375177,258.026289,,2919,106511837,29565516,659.00625
3575,106524178,29378853,262.131552,,2920,106518776,29569426,692.599471
3576,106523810,29380284,335.763131,,2921,106523222,29572304,657.979514
3577,106523574,29382430,483.166947,,2922,106527135,29572873,576.386275
3578,106521102,29383033,595.58919,,2923,106532698,29578392,718.867497
